latitude, longitude, checkins, id, name
55.5767978456, 37.3409817437, 7, 4f0beb5be4b020a8d9255b45, Villa of the Antibiotic
55.5592377027, 37.3469599334, 21, 4f723a0ae4b03c97458ec7a6, Relax Point
55.5640886758, 37.3341889696, 18, 4f395cbfe4b039c3c476e3c1, Хоум
55.5835599899, 37.3485221863, 0, 4fa0ea48e4b0ee815ca771dd, Вноково ВЛЭК
55.5640886758, 37.3341889696, 4, 4be539b02457a593b940ab15, Дача
55.5583202171, 37.3503992985, 20, 4eda97d54901c8be1dd466ef, Филимонки
55.5583202171, 37.3503992985, 1, 4f38432be4b0edf91ddeb0a9, Дом
55.5583202171, 37.3503992985, 1, 4f384493e4b00d9f96ff9580, Хоум
55.5783418326, 37.351664932, 2, 4eff69a5775bec6b43aa229c, Новый Год
55.580685, 37.353974, 2, 4f584a3be4b003e66841ae0e, Polina's Home
55.580462695, 37.3609832695, 0, 4f195324e4b08fa23f8a888e, В холодильнике. XD
55.5709291987, 37.3565972198, 360, 4beefc600e0120a174265031, Валуево
55.580462695, 37.3609832695, 28, 4e6bda3b2271d308c7b370b6, У Андрея
55.580462695, 37.3609832695, 34, 4d98c208b188721e74a42f37, Любимая Норка)))
55.56994, 37.349056, 1, 4e2acbace4cd3bc1668d94f7, Валуевские Пруды
55.5723366394, 37.3561253444, 31, 4fa632f2e4b0d90526366626, Усадьба "Валуево"
55.572134345, 37.352437755, 6, 4f784018e4b0c7b6e2a08525, Валуево
55.5694176, 37.3515398, 1, 4e4b6fef1f6e2a789a879cab, ДТП на Валуевском шоссе
55.5695637165, 37.3532227142, 4, 4f3a29a8e4b059425a47cfa5, Автобус 420
55.5730725906, 37.3553074181, 2, 4ef73eac61af4546fe2c240b, 1122
55.5761260986, 37.3539047241, 1, 4f9d808ee4b033ffd4bdfc8c, кинотеатр Стрела
55.57202, 37.356143, 5, 4f814f34e4b0a6d0b6ee6517, Санаторий Валуево
55.5718981345, 37.3559410716, 1, 4ef744fdf9ab2e6681e0d374, Столовая
55.5719861218, 37.3562981034, 1, 4ef6cd2a0e61a0846d00ea6f, "Елочка" в Валуево
55.5835599899, 37.3485221863, 0, 4fa0ea48e4b0ee815ca771dd, Вноково ВЛЭК
55.5695637165, 37.3532227142, 4, 4f3a29a8e4b059425a47cfa5, Автобус 420
55.565941, 37.362337, 1, 4fc07c27e4b0152d44c7fc05, Петрушка
55.566504873, 37.3637954249, 1, 4fd6d4ffe4b00c40bb0ddf57, Кроватъка :)
55.5694176, 37.3515398, 1, 4e4b6fef1f6e2a789a879cab, ДТП на Валуевском шоссе
55.566504873, 37.3637954249, 2, 4f2d2073e4b00ef1a4be0cc0, Bald home #3
55.56994, 37.349056, 1, 4e2acbace4cd3bc1668d94f7, Валуевские Пруды
55.5709291987, 37.3565972198, 360, 4beefc600e0120a174265031, Валуево
55.5583202171, 37.3503992985, 20, 4eda97d54901c8be1dd466ef, Филимонки
55.5583202171, 37.3503992985, 1, 4f38432be4b0edf91ddeb0a9, Дом
55.5583202171, 37.3503992985, 1, 4f384493e4b00d9f96ff9580, Хоум
55.5583202171, 37.3503992985, 40, 4f43f165e4b0cd1affe423ea, Дома
55.5723366394, 37.3561253444, 31, 4fa632f2e4b0d90526366626, Усадьба "Валуево"
55.5525494773, 37.366605268, 1, 4fc9d3f7e4b0703e280ff4c2, Krovatka
55.5525494773, 37.366605268, 1, 4fc9d532e4b063c029361e8d, Nika's bedroom zZzZ
55.5525494773, 37.366605268, 3, 4fca08d8e4b09ca09f6db780, В Домике
55.5525494773, 37.366605268, 1, 4fc1cb18e4b0bccbf634693b, D's Dom
55.561464, 37.358361, 41, 4c00fdefcf3aa5937a49ccb0, Tusti's Palace
55.5583202171, 37.3503992985, 17, 4f1b3e64e4b0d1a65581f72a, My mammys house
55.5583202171, 37.3503992985, 6, 4faeb067e4b09cca61a85e5e, Secret Place:)
55.55789, 37.357782, 2, 4faed0c4e4b0c29a7675aa26, Super Besedka))
55.5718981345, 37.3559410716, 1, 4ef744fdf9ab2e6681e0d374, Столовая
55.5730725906, 37.3553074181, 2, 4ef73eac61af4546fe2c240b, 1122
55.57202, 37.356143, 5, 4f814f34e4b0a6d0b6ee6517, Санаторий Валуево
55.5583202171, 37.3503992985, 2, 4e833326f5b97526969c6c4b, Алень Хаус
55.5583202171, 37.3503992985, 1, 4f9ea764e4b0d296c9180562, Авиасвязь
55.5719861218, 37.3562981034, 1, 4ef6cd2a0e61a0846d00ea6f, "Елочка" в Валуево
55.572134345, 37.352437755, 6, 4f784018e4b0c7b6e2a08525, Валуево
55.5761260986, 37.3539047241, 1, 4f9d808ee4b033ffd4bdfc8c, кинотеатр Стрела
55.580462695, 37.3609832695, 13, 4fbfb743e4b08585ff90d4b3, спортивная, 94
55.5790042119, 37.3615247011, 256, 4dfc8c90c65b31579b2e92af, Kesha's Residence & SPA
55.5781666339, 37.3583958623, 4, 4fbe8f59e4b02d6f8ecd04ba, верхнее валуево улица спортивная
55.580462695, 37.3609832695, 6, 4f00dc9861af974bcef796a0, Валуево( загородный дом)
55.578754425, 37.3607826233, 0, 4ebdd4229911a2ec5b19e9a2, Кошкин дом 2
55.5791896822, 37.3613868241, 5, 4e0b5696d164e3547c2fea81, Stadium "Moskovsky"
55.584635089, 37.3584956624, 43, 4f9529fae4b0f888de5b6dba, Совхоз Московский
55.580462695, 37.3609832695, 28, 4e6bda3b2271d308c7b370b6, У Андрея
55.5848800104, 37.3606515875, 114, 4e48bb4162845e1d3cafdd0d, Т/П Киевский
55.580462695, 37.3609832695, 0, 4f195324e4b08fa23f8a888e, В холодильнике. XD
55.580462695, 37.3609832695, 34, 4d98c208b188721e74a42f37, Любимая Норка)))
55.5783418326, 37.351664932, 2, 4eff69a5775bec6b43aa229c, Новый Год
55.580685, 37.353974, 2, 4f584a3be4b003e66841ae0e, Polina's Home
55.580462695, 37.3609832695, 0, 4fcc7854be77c84b2c5ae7b1, Верхнее Валуево, ул. Луговая
55.585345964, 37.3614732368, 24, 4dc53ab6c65b89d3ca67ff73, Автоимидж-сервис Мазды
55.584696, 37.35766, 3, 4fae6c64e4b0c546fa7e1741, Питомник
55.5854755595, 37.3619422534, 9, 4e86f951e5fa86b7cb982cff, Сервис И То
55.565112, 37.385938, 1, 4f3fa956e4b0ae06554a36f7, Hawaiian Party
55.5798886684, 37.3809221286, 1, 4fa10993e4b0e757206c1e64, ProfLegion
55.5689119023, 37.3934078488, 28, 4e39ade6887777123dd603b5, Mamapapa Maison
55.5831755218, 37.3805774677, 3, 4fd70e33e4b0da5c74d6800d, Vegetable Research Club
55.583693, 37.38024, 2, 4deb7b79d22da22d4eee65f4, Дача
55.5828709143, 37.3906062572, 73, 4e3159b1ae6085c3ad199790, Поселок "Летова Роща(Антоновка)""
55.5800263913, 37.3919196708, 16, 4f89a9dce4b060b7f7a2aada, Дом Кедра;)
55.5746884395, 37.3771977437, 12, 4f53ba3be4b002a743b0c943, My house
55.5746884395, 37.3771977437, 0, 4defd9aa887754a6af9d63d8, Зимёнки
55.5746884395, 37.3771977437, 3, 4e1584d8b61c42e7c54b9460, Stepa's Dacha
55.5828709143, 37.3906062572, 8, 4f48dbafe4b0e445063cb915, Max's House
55.5746884395, 37.3771977437, 19, 4f402aade4b0c868dd2323ba, Котеджный поселок Зименки
55.574268, 37.384852, 0, 4fd358a1e4b013c58087a042, Зименки
55.5828709143, 37.3906062572, 3, 4f48dab8e4b0f85d0882843d, Max's house
55.5746884395, 37.3771977437, 1, 4f4883cee4b0b0b99a3a546d, Анина кровать
55.5746884395, 37.3771977437, 1, 4f47d878e4b0291e47a6f442, Anna's House
55.584506009, 37.3776340485, 12, 4fabd971e4b0eb9e949c6fb0, На речке, на речке, на том бережочке
55.5830726624, 37.3760643005, 1, 4fc2feace4b07a4ede0ed258, Адова очередь на маршрутку
55.5886480697, 37.3743897142, 58, 4f2ae341e4b05b4a41259e9c,  Home
55.5630523546, 37.3879687308, 321, 4d7a93e154f18cfa0407b756, Бельгийская Деревня
55.5886480697, 37.3743897142, 14, 4f9522b4e4b0b65a8c529ffd, at Home
55.5689119023, 37.3934078488, 1, 4f8db762e4b0375890ee1e25, Летова Роща (Дом Фарида)
55.5886480697, 37.3743897142, 4, 4f0f505be4b0ac2739b3b6a9, juls place
55.587043, 37.372196, 1, 4f8b1112e4b029818bbb5a83, Шиномонтаж в Граде
55.587768, 37.373968, 0, 4f02f9a9be7bbcd4f67fc06f, Campion Villa Yamontovo
55.5525494773, 37.366605268, 1, 4fc9d3f7e4b0703e280ff4c2, Krovatka
55.5525494773, 37.366605268, 3, 4fca08d8e4b09ca09f6db780, В Домике
55.5525494773, 37.366605268, 1, 4fc1cb18e4b0bccbf634693b, D's Dom
55.5525494773, 37.366605268, 1, 4fc9d532e4b063c029361e8d, Nika's bedroom zZzZ
55.560731235, 37.3800034635, 1, 4c41d647ce54e21edea30b1a, Ania's Mansion
55.560731235, 37.3800034635, 108, 4ef706a293ad7cf2ea204e7e, На Хате
55.5638255321, 37.3886776599, 65, 4f19a675e4b04692a0c354dd, Кафе "Бельгийская деревня"
55.560731235, 37.3800034635, 1, 4fd4c77ae4b03f13ed17627c, У Юдкиных*
55.5639822914, 37.3883668208, 40, 4f2c22d7e4b0009b31bdc50f, Каток «Бельгийская Деревня»
55.560731235, 37.3800034635, 113, 4ec951b8e5fa232a77583de2, Коттеджный поселок «Бельгийская деревня»
55.5639858474, 37.3888588892, 30, 4f39777ce4b02a70e3633fb8, Хочу к Тебе...
55.560629, 37.385685, 3, 4f52467de4b09f0a24a90dca, У любимого 
55.5636941761, 37.3888121052, 6, 4eecd27e8231688f1d9de604, Guitar hero у Виктора
55.5611055525, 37.3881083124, 8, 4f5313e8e4b0b5d9de791afc, Озеро Бельгийская Деревня
55.560731235, 37.3800034635, 2, 4fcf69d1e4b02f27da6abd50, Russkova's House
55.559558, 37.386605, 12, 4f4e1024e4b05ebee5864d1e, GYM
55.560731235, 37.3800034635, 2, 4ea0e4107ee52a35dc4149b0, Доброе Утро Всем!
55.5770914771, 37.4068184262, 1, 4f8f1609e4b040530b905853, Aliyev Estate (Летова Роща)
55.566759, 37.402847, 3, 4f588c91e4b0ad7e15d7960b, Супермегатусааа 
55.580462695, 37.3609832695, 2, 4f8ef069e4b0e77df3fd595f, home sweet home
55.584072113, 37.405418396, 0, 4f3ba510e4b08b7acee33e39, Ebanie Moskovskie probki
55.5644783922, 37.4071767858, 15, 4f8118d0e4b088077f769a43, Храм Михаила Архангела
55.5631330851, 37.4096135833, 1, 4fd71b68e4b0b5d9899410e0, My villa
55.5828709143, 37.3906062572, 73, 4e3159b1ae6085c3ad199790, Поселок "Летова Роща(Антоновка)""
55.5631330851, 37.4096135833, 4, 4e907cd3550342b5a43eb597, День Рождения Дашулечки
55.5800263913, 37.3919196708, 16, 4f89a9dce4b060b7f7a2aada, Дом Кедра;)
55.5828709143, 37.3906062572, 8, 4f48dbafe4b0e445063cb915, Max's House
55.563494, 37.40742, 1, 4fc7a683e4b02b3f4db1c162, СельПо в Летово
55.5828709143, 37.3906062572, 3, 4f48dab8e4b0f85d0882843d, Max's house
55.5662717016, 37.4013351284, 249, 4daaefef0437dccbd810ed25, Летово-2
55.5630523546, 37.3879687308, 321, 4d7a93e154f18cfa0407b756, Бельгийская Деревня
55.574268, 37.384852, 0, 4fd358a1e4b013c58087a042, Зименки
55.5746884395, 37.3771977437, 12, 4f53ba3be4b002a743b0c943, My house
55.5689119023, 37.3934078488, 306, 4e1b5f03b61cda006c7ebdc2, Летово 1
55.5746884395, 37.3771977437, 19, 4f402aade4b0c868dd2323ba, Котеджный поселок Зименки
55.5729300955, 37.3959192915, 135, 4ee48b9bb8f790fe3fddc256, Гараж
55.5746884395, 37.3771977437, 1, 4f47d878e4b0291e47a6f442, Anna's House
55.5746884395, 37.3771977437, 1, 4f4883cee4b0b0b99a3a546d, Анина кровать
55.5689119023, 37.3934078488, 2, 4e6fcb001f6e4bc055c0acf9, Доброе Утро Солнышко
55.5728779153, 37.396171341, 2, 4fce6df6e4b0fba16d8dec13, Гостевой Дом
55.5689119023, 37.3934078488, 28, 4e39ade6887777123dd603b5, Mamapapa Maison
55.572896, 37.395974, 1, 4fc8a68ce4b003326fc081e5, "Зимний Сад"
55.5689119023, 37.3934078488, 0, 4f94b7f2e4b03330ab400bda, Home, Sweet home
55.566398, 37.395791, 2, 4eb2de7e722ead5ebf69313f, Lil Mash's Pub
55.5689119023, 37.3934078488, 10, 4f33f2cce4b0a960e628d5d3, Cloud's Bed
55.5689119023, 37.3934078488, 3, 4fca6b26e4b0980cf14ec1ad, Country House
55.5689119023, 37.3934078488, 2, 4f9daed6e4b05baf795ea1df, Пиздатый Дом ✌
55.5746884395, 37.3771977437, 0, 4defd9aa887754a6af9d63d8, Зимёнки
55.5746884395, 37.3771977437, 3, 4e1584d8b61c42e7c54b9460, Stepa's Dacha
55.560731235, 37.3800034635, 108, 4ef706a293ad7cf2ea204e7e, На Хате
55.5638255321, 37.3886776599, 65, 4f19a675e4b04692a0c354dd, Кафе "Бельгийская деревня"
55.5639858474, 37.3888588892, 30, 4f39777ce4b02a70e3633fb8, Хочу к Тебе...
55.560731235, 37.3800034635, 113, 4ec951b8e5fa232a77583de2, Коттеджный поселок «Бельгийская деревня»
55.5639822914, 37.3883668208, 40, 4f2c22d7e4b0009b31bdc50f, Каток «Бельгийская Деревня»
55.5636941761, 37.3888121052, 6, 4eecd27e8231688f1d9de604, Guitar hero у Виктора
55.565112, 37.385938, 1, 4f3fa956e4b0ae06554a36f7, Hawaiian Party
55.5611055525, 37.3881083124, 8, 4f5313e8e4b0b5d9de791afc, Озеро Бельгийская Деревня
55.560731235, 37.3800034635, 2, 4fcf69d1e4b02f27da6abd50, Russkova's House
55.560731235, 37.3800034635, 2, 4ea0e4107ee52a35dc4149b0, Доброе Утро Всем!
55.559558, 37.386605, 12, 4f4e1024e4b05ebee5864d1e, GYM
55.560629, 37.385685, 3, 4f52467de4b09f0a24a90dca, У любимого 
55.560731235, 37.3800034635, 1, 4fd4c77ae4b03f13ed17627c, У Юдкиных*
55.556474, 37.416135, 1, 4f897823e4b005979e3e1291, Running
55.5573519895, 37.4258149458, 2, 4fa3e4dde4b089a9592b68d2, Алёнин Дом
55.5696889331, 37.4096720586, 5, 4ecf826c77c8ea62faf85f2a, Поселок Лесная Симфония
55.5713097597, 37.4230262199, 1, 4faff18ae4b091b4633d7f5d, Дом Галины Спепановны
55.5573519895, 37.4258149458, 10, 4ea3ff8fb8f7e4911f44929b, Дом в Ларево
55.5603616052, 37.4192920977, 21, 4ee52fb7aa1fd7f755204900, My Bed
55.5713097597, 37.4230262199, 1, 4f8a9af9e4b0183206dfef90, Darina's palace
55.5713097597, 37.4230262199, 2, 4f92d13ee4b059d7d9a03b71, Chaplyun's resident
55.560424, 37.420366, 4, 4ecb1d9793adb4bd1a969501, Объезд Через Московский
55.5603860419, 37.4191521214, 8, 4ee387449a52c1dad95d2e93, Dom (Larevo)
55.5852699572, 37.4202351982, 1, 4f6dd41be4b01489b9f26c30, Petrov's wonderfull villa
